player_id,player_name,citizenship,position,main_position
48949,Kelvin Matute (48949),Cameroon,Midfield - Defensive Midfield,Midfield
489613,Batuhan Kurt (489613),Türkiye,Attack - Centre-Forward,Attack
489716,Victor Mpindi (489716),Cameroon,Midfield - Defensive Midfield,Midfield
489756,Ismaila Diop (489756),Senegal,Defender - Centre-Back,Defender
48983,Josip Coric (48983),Bosnia-Herzegovina  Croatia,Midfield - Central Midfield,Midfield
489815,Kamran Aliev (489815),Russia  Azerbaijan,Attack - Left Winger,Attack
490223,Ibrahima Koné (490223),Mali,Attack - Centre-Forward,Attack
490292,Momo Yansane (490292),Guinea,Attack - Centre-Forward,Attack
490224,Ismaila Coulibaly (490224),Mali,Midfield - Central Midfield,Midfield
490288,Mamadouba Diaby (490288),Guinea  Cote d'Ivoire,Defender - Left-Back,Defender
490297,Mamadou Kané (490297),Guinea,Midfield - Defensive Midfield,Midfield
490385,Mohammed Amin Doudah (490385),Belgium  Morocco,Midfield - Central Midfield,Midfield
490419,Habib Guèye (490419),Senegal  France,Defender - Centre-Back,Defender
490417,Ibrahima Niane (490417),Senegal  France,Attack - Centre-Forward,Attack
490421,Momo Mbaye (490421),Senegal,Defender - Centre-Back,Defender
490414,Waly Diouf (490414),Senegal  France,Defender - Centre-Back,Defender
490426,Krépin Diatta (490426),Senegal,Attack - Right Winger,Attack
490566,Mohamed Amine Ben Sliman (490566),Belgium  Morocco,Midfield - Central Midfield,Midfield
490570,Ismail Ait Meziani (490570),France  Algeria,Defender - Right-Back,Defender
490630,Yassin Yaqoub (490630),Qatar,Midfield - Right Midfield,Midfield
49072,Muhittin Tekin (49072),Türkiye,Defender - Right-Back,Defender
490760,Tchamba (490760),Cameroon,Defender - Centre-Back,Defender
490761,Karl Ndedi (490761),Cameroon,Defender - Centre-Back,Defender
490764,Rodrigue Ele Ebolo (490764),Cameroon,Defender - Centre-Back,Defender
490768,Preston Etaka (490768),Cameroon,Attack - Centre-Forward,Attack
490811,Ammar Ramadan (490811),Syria,Attack - Left Winger,Attack
49085,Adnan Ahmed (49085),Pakistan  England,Midfield - Central Midfield,Midfield
490954,Saleh Al-Yahri (490954),Qatar,Defender - Centre-Back,Defender
491180,Dzenan Talic (491180),Switzerland  Bosnia-Herzegovina,Midfield - Defensive Midfield,Midfield
491296,Anass Zaroury (491296),Morocco  Belgium,Attack - Left Winger,Attack
491279,Michel Oberlin (491279),Switzerland  Cameroon,Defender - Centre-Back,Defender
491486,Hadi Fayyadh (491486),Malaysia,Attack - Centre-Forward,Attack
491779,Karim Tlili (491779),France  Tunisia,Attack - Right Winger,Attack
491738,Osaze Urhoghide (491738),England  Nigeria,Defender - Centre-Back,Defender
491781,Nathanaël Dieng (491781),France  Senegal,Defender - Centre-Back,Defender
491780,Neupocoussek Mendy (491780),France  Senegal,Attack - Centre-Forward,Attack
491782,Bassiri Keita (491782),France  Mali,Defender - Left-Back,Defender
491784,Yasser Baldé (491784),Guinea  France,Defender - Centre-Back,Defender
491844,Ahmed Soilihi (491844),Comoros  France,Defender - Centre-Back,Defender
491839,Youstafadou Mourtadhoi (491839),France  Comoros,Midfield - Attacking Midfield,Midfield
491890,Stephen Odey (491890),Nigeria,Attack - Centre-Forward,Attack
491946,Paya Pichkah (491946),Sweden  Iran,Midfield - Central Midfield,Midfield
491966,Serkan Asan (491966),Türkiye,Defender - Right-Back,Defender
491960,Benito (491960),Nigeria  Cote d'Ivoire,Attack - Right Winger,Attack
492004,Marko Zulj (492004),Croatia  Bosnia-Herzegovina,Defender - Centre-Back,Defender
492014,Idriz Bega (492014),Switzerland  Kosovo,Midfield - Central Midfield,Midfield
492104,Abdelrahman Boudah (492104),Sweden  Algeria,Attack - Left Winger,Attack
49270,Dawda Bah (49270),The Gambia,Attack - Left Winger,Attack
493268,Soriba Sylla (493268),France  Guinea,Attack - Left Winger,Attack
493593,Azizbek Turgunboev (493593),Uzbekistan,Midfield - Central Midfield,Midfield
